Nombre,topic
Python,python
C,c
Java,java
C++,cpp
C#,csharp
Visual Basic,visual-basic
JavaScript,javascript
Assembly Language,assembly
SQL,sql
PHP,php
R,r
Delphi/Object Pascal,object-pascal
Go,go
Swift,swift
Ruby,ruby
Classic Visual Basic,visual-basic
Objective-C,objective-c
Perl,perl
Lua,lua
MATLAB,matlab
